product_name,price_tag,currency (IDR),link_product
Air Jordan 1 Low Wolf Grey (Women's),1380000,IDR,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-low-wolf-grey-w-dc0774-105-ka-2/24000?from=search
Air Jordan 1 Retro High OG Hyper Royal Smoke Grey,1400000,IDR,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-retro-high-og-hyper-royal-smoke-grey-555088-402-ka-2/17894?from=search
Air Jordan 1 Low Iron Grey,1400000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-low-iron-grey-553558-152-ka/109933?from=search
Adidas Samba Decon White Black Gum,1400000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-samba-decon-white-black-gum-if0642-ka/98498?from=search
Nike Air Force 1 Ess Sail Black (Women's),1410000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-ess-sail-black-w-hf1058-133-ka/103719?from=search
Adidas NMD R1 Japan Boost Grey,1430000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-nmd-r1-japan-boost-grey-s81849-ka/88?from=search
ASICS Skyhand OG White Black Gum,1430000,IDR,https://www.kickavenue.com/sneakers/asics/asics-skyhand-og-white-black-gum-1203a451-101-ka/113845?from=search
Adidas Samba OG Black Embroidered Floral (Women's),1430000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-samba-og-black-embroidered-floral-w-if4397-ka/110433?from=search
Crocs Classic Clog Toy Story Buzz Lightyear,1440000,IDR,https://www.kickavenue.com/sneakers/crocs/crocs-classic-clog-toy-story-buzz-lightyear-209545-0id-ka/96457?from=search
New Balance 1906R Grey Day,1450000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-1906r-grey-day-m1906rgr-ka/105452?from=search
Nike Dunk Low LX Year Of Dragon Dusty Cactus (Women's),1460000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-lx-year-of-dragon-dusty-cactus-w-fz5065-111-ka/74324?from=search
Nike P-6000 Metallic Silver Sail,1470000,IDR,https://www.kickavenue.com/sneakers/nike/nike-p-6000-metallic-silver-sail-cn0149-001-ka/78213?from=search
Air Jordan 1 High Zoom Air CMFT 2 Particle Grey,1470000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-high-zoom-air-cmft-2-particle-grey-dv1307-101-ka/92287?from=search
Air Jordan 1 Low Multicolor Sashiko (Women's),1490000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-low-multicolor-sashiko-w-fv3623-151-ka/75083?from=search
Adidas Samba OG Night Navy Cream,1500000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-samba-og-night-navy-cream-id2056-ka/71458?from=search
New Balance 1906U Triple Black,1500000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-1906u-triple-black-m1906nj-ka/110330?from=search
Adidas Samba OG Cloud White Core Black,1500000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-samba-og-cloud-white-core-black-b75806-ka/3743?from=search
Vans Style 36 Stranger Things,1500000,IDR,https://www.kickavenue.com/sneakers/vans/vans-style-36-stranger-things-vn0a3dz3y09-ka-2/37671?from=search
Adidas Handball Spezial Preloved Green,1500000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-handball-spezial-preloved-green-ig6192-ka/104080?from=search
New Balance 1906R Beige Cream,1520000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-1906r-beige-cream-m1906rl-ka-2/39658?from=search
Adidas Handball Spezial Navy Gum,1520000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-handball-spezial-navy-gum-bd7633-ka/35358?from=search
Adidas Handball Spezial Clear Pink Arctic Night (Women's),1540000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-handball-spezial-clear-pink-arctic-night-w-if6561-ka/73678?from=search
